abraçamentos	abraçamento	Gender=Masc|Number=Plur
abraço	abraço	Gender=Masc|Number=Sing
abraços	abraço	Gender=Masc|Number=Plur
abreugrafia	abreugrafia	Gender=Fem|Number=Sing
abreugrafias	abreugrafia	Gender=Fem|Number=Plur
abreviamento	abreviamento	Gender=Masc|Number=Sing
abreviamentos	abreviamento	Gender=Masc|Number=Plur
abreviatura	abreviatura	Gender=Fem|Number=Sing
abreviaturas	abreviatura	Gender=Fem|Number=Plur
abreviação	abreviação	Gender=Fem|Number=Sing
abreviações	abreviação	Gender=Fem|Number=Plur
abricoque	abricoque	Gender=Masc|Number=Sing
abricoqueiro	abricoqueiro	Gender=Masc|Number=Sing
abricoqueiros	abricoqueiro	Gender=Masc|Number=Plur
abricoques	abricoque	Gender=Masc|Number=Plur
abricoteiro	abricoteiro	Gender=Masc|Number=Sing
abricoteiros	abricoteiro	Gender=Masc|Number=Plur
abricó	abricó	Gender=Masc|Number=Sing
abricós	abricó	Gender=Masc|Number=Plur
abrideira	abrideira	Gender=Fem|Number=Sing
abrideiras	abrideira	Gender=Fem|Number=Plur
abridela	abridela	Gender=Fem|Number=Sing
abridelas	abridela	Gender=Fem|Number=Plur
abridor	abridor	Gender=Masc|Number=Sing
abridora	abridor	Gender=Fem|Number=Sing
abridoras	abridor	Gender=Fem|Number=Plur
abridores	abridor	Gender=Masc|Number=Plur
abrigada	abrigado	Gender=Fem|Number=Sing
abrigadas	abrigado	Gender=Fem|Number=Plur
abrigado	abrigado	Gender=Masc|Number=Sing
abrigados	abrigado	Gender=Masc|Number=Plur
abrigadouro	abrigadouro	Gender=Masc|Number=Sing
abrigadouros	abrigadouro	Gender=Masc|Number=Plur
abrigo	abrigo	Gender=Masc|Number=Sing
abrigos	abrigo	Gender=Masc|Number=Plur
abrigozinho	abrigozinho	Gender=Masc|Number=Sing
abrigozinhos	abrigozinho	Gender=Masc|Number=Plur
abril	abril	Gender=Masc|Number=Sing
abrilada	abrilada	Gender=Fem|Number=Sing
abriladas	abrilada	Gender=Fem|Number=Plur
abrilhantamento	abrilhantamento	Gender=Masc|Number=Sing
abrilhantamentos	abrilhantamento	Gender=Masc|Number=Plur
abrimento	abrimento	Gender=Masc|Number=Sing
abrimentos	abrimento	Gender=Masc|Number=Plur
abrir	abrir	Gender=Masc|Number=Sing
abris	abril	Gender=Masc|Number=Plur
abrolhamento	abrolhamento	Gender=Masc|Number=Sing
abrolhamentos	abrolhamento	Gender=Masc|Number=Plur
abrolho	abrolho	Gender=Masc|Number=Sing
abrolhos	abrolho	Gender=Masc|Number=Plur
abruptela	abruptela	Gender=Fem|Number=Sing
abruptelas	abruptela	Gender=Fem|Number=Plur
abruptude	abruptude	Gender=Fem|Number=Sing
abruptudes	abruptude	Gender=Fem|Number=Plur
abrupção	abrupção	Gender=Fem|Number=Sing
abrupções	abrupção	Gender=Fem|Number=Plur
abrutamento	abrutamento	Gender=Masc|Number=Sing
abrutamentos	abrutamento	Gender=Masc|Number=Plur
abscesso	abscesso	Gender=Masc|Number=Sing
abscessos	abscesso	Gender=Masc|Number=Plur
abscissa	abscissa	Gender=Fem|Number=Sing
abscissas	abscissa	Gender=Fem|Number=Plur
abscisão	abscisão	Gender=Fem|Number=Sing
abscisões	abscisão	Gender=Fem|Number=Plur
absconso	absconso	Gender=Masc|Number=Sing
absconsos	absconso	Gender=Masc|Number=Plur
absenteísmo	absenteísmo	Gender=Masc|Number=Sing
absenteísmos	absenteísmo	Gender=Masc|Number=Plur
absentismo	absentismo	Gender=Masc|Number=Sing
absentismos	absentismo	Gender=Masc|Number=Plur
abside	abside	Gender=Fem|Number=Sing
absides	abside	Gender=Fem|Number=Plur
absidíola	absidíola	Gender=Fem|Number=Sing
absidíolas	absidíola	Gender=Fem|Number=Plur
absintina	absintina	Gender=Fem|Number=Sing
absintinas	absintina	Gender=Fem|Number=Plur
absinto	absinto	Gender=Masc|Number=Sing
absintos	absinto	Gender=Masc|Number=Plur
absintoso	absintoso	Gender=Masc|Number=Sing
absintosos	absintoso	Gender=Masc|Number=Plur
absoluta	absoluto	Gender=Fem|Number=Sing
absolutas	absoluto	Gender=Fem|Number=Plur
absolutismo	absolutismo	Gender=Masc|Number=Sing
absolutismos	absolutismo	Gender=Masc|Number=Plur
absolutista	absolutista	Number=Sing
absolutistas	absolutista	Number=Plur
absoluto	absoluto	Gender=Masc|Number=Sing
absolutos	absoluto	Gender=Masc|Number=Plur
absolvição	absolvição	Gender=Fem|Number=Sing
absolvições	absolvição	Gender=Fem|Number=Plur
absorbância	absorbância	Gender=Fem|Number=Sing
absorbâncias	absorbância	Gender=Fem|Number=Plur
absorsor	absorsor	Gender=Masc|Number=Sing
absorsores	absorsor	Gender=Masc|Number=Plur
absortividade	absortividade	Gender=Fem|Number=Sing
absortividades	absortividade	Gender=Fem|Number=Plur
absorvedouro	absorvedouro	Gender=Masc|Number=Sing
absorvedouros	absorvedouro	Gender=Masc|Number=Plur
absorvente	absorvente	Number=Sing
absorventes	absorvente	Number=Plur
